guess,run,config,good,bad,%,recall,mca,ms
1st,35-24,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,31.0
1st,35-24,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,234.0
1st,21-46,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,8.5,9.0,48.53,100.0,37.0,497.0
1st,21-46,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,15.0
1st,21-46,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,109.0
1st,21-46,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,79.0
1st,21-46,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,16.0
1st,21-46,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,278.0
1st,5-127,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid,8.5,9.0,48.370000000000005,100.0,34.0,1187.0
1st,5-127,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid),0.0,1.0,0.0,20.0,0.0,40.0
1st,5-127,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid),3.5,1.5,70.0,100.0,70.0,275.0
1st,5-127,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid),3.0,2.0,60.0,100.0,60.0,255.0
1st,5-127,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid),0.0,1.5,0.0,30.0,0.0,48.0
1st,5-127,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid),2.0,3.0,40.0,100.0,40.0,569.0
1st,6-151,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid,8.5,9.0,48.370000000000005,100.0,34.0,1263.0
1st,6-151,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid),0.0,1.0,0.0,20.0,0.0,31.0
1st,6-151,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid),3.5,1.5,70.0,100.0,70.0,312.0
1st,6-151,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid),3.0,2.0,60.0,100.0,60.0,234.0
1st,6-151,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid),0.0,1.5,0.0,30.0,0.0,62.0
1st,6-151,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid),2.0,3.0,40.0,100.0,40.0,624.0
1st,3-203,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid,8.5,9.0,48.2,100.0,37.0,970.0
1st,3-203,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,31.0
1st,3-203,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid),4.0,1.0,80.0,100.0,80.0,203.0
1st,3-203,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,204.0
1st,3-203,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid),0.5,1.0,25.0,30.0,25.0,47.0
1st,3-203,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,485.0
1st,71-47,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,454.0
1st,71-47,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,71-47,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,95.0
1st,71-47,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,110.0
1st,71-47,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid),0.5,1.0,25.0,30.0,25.0,0.0
1st,71-47,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,249.0
1st,62-52,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,483.0
1st,62-52,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,62-52,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,124.0
1st,62-52,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,62.0
1st,62-52,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,16.0
1st,62-52,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid),3.5,1.5,70.0,100.0,70.0,265.0
1st,136-6,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,1187.0
1st,136-6,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,136-6,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,283.0
1st,136-6,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,204.0
1st,136-6,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,77.0
1st,136-6,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid),2.5,2.5,50.0,100.0,50.0,607.0
1st,51-26,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,489.0
1st,51-26,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid),0.0,1.0,0.0,20.0,0.0,5.0
1st,51-26,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,113.0
1st,51-26,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,95.0
1st,51-26,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid),0.5,1.0,25.0,30.0,25.0,11.0
1st,51-26,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,265.0
1st,81-19,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,502.0
1st,81-19,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,4.0
1st,81-19,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,110.0
1st,81-19,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),2.5,2.5,50.0,100.0,50.0,108.0
1st,81-19,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,28.0
1st,81-19,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,252.0
1st,58-33,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,502.0
1st,58-33,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,58-33,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,111.0
1st,58-33,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,93.0
1st,58-33,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,32.0
1st,58-33,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid),3.5,1.5,70.0,100.0,70.0,266.0
1st,41-30,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,508.0
