./javalimited.sh: No lock taken...
./javalimited.sh: Lock acquired. Reading counter.
./javalimited.sh: Registered started JVMs: 0
./javalimited.sh: Registering our JVM...
./javalimited.sh: Re-releasing lock 2...
./javalimited.sh: Running our real JVM [java]: 1...
SATEDb.query(): DB size: 5
SATEDb.query(): DB size: 5
guess,run,config,good,bad,%,recall,mca,ms
1st,8,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -cheb -flucid),0,1,0.00,20.00,0.00,32
1st,8,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -cheb -flucid),5,0,100.00,100.00,100.00,188
1st,8,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -cheb -flucid),1,4,20.00,100.00,20.00,222
1st,8,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -cheb -flucid),3,2,60.00,100.00,60.00,280
1st,9,-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid,9,8,52.94,100.00,36.00,778
1st,9,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid),0,1,0.00,20.00,0.00,32
1st,9,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid),0,1,0.00,20.00,0.00,30
1st,9,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid),3,2,60.00,100.00,60.00,220
1st,9,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid),5,0,100.00,100.00,100.00,124
1st,9,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -eucl -flucid),1,4,20.00,100.00,20.00,372
1st,10,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,9,8,52.94,100.00,36.00,438
1st,10,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),0,1,0.00,20.00,0.00,32
1st,10,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),0,1,0.00,20.00,0.00,0
